;text
89057;🔴 Los momentos más memorables que dejó El Show de #LopezAliaga borracho, el que prometió hacernos “potencia mundial”. #CierrenWillax #LopezAliagaBorracho #Porky 🍷🥃 https://t.co/swRtz7abSg
88320;"@contracultural Si no les gusta a los del #Congreso el premier @GuidoPuka pues ya saben q hacer, o tendrán miedo q se puedan quesar sin sus frejoles?
Mmm..
Esta dejandolo hecho un idiota al Keikista de #EnriqueCastillo , jajajaa
#AgendaPolitica 
#CuartoPoder
#CierrenWillax"
94661;#CierrenWillax es lo que piden todos. @willaxtv pervierte el periodismo y envenena el alma. ¡Basta de tanta impunidad por Dios!
48000;"Cerrar la encerrona a cambio de que #CierrenWillax se me hace una ganga. Atraco

#CierrenLaEncerrona"
25472;"¿Otra vez #CierrenWillax y #CierrenLaEncerrona?. 🤦‍♂️

NO JODAN. DEJEN ESAS PELEAS ESTÚPIDAS, PTM. 

MADUREN NIÑOS. TODOS DEBEMOS ESTAR UNIDOS CONTRA EL INTENTO DE IMPLANTAR UN GOBIERNO COMUNISTA."
69890;"Cerrar la encerrona a cambio de que #CierrenWillax se me hace una ganga. Atraco

#CierrenLaEncerrona"
51876;🔴 Los momentos más memorables que dejó El Show de #LopezAliaga borracho, el que prometió hacernos “potencia mundial”. #CierrenWillax #LopezAliagaBorracho #Porky 🍷🥃 https://t.co/swRtz7abSg
05793;NO #CierrenWillax y NO  #CierrenLaEncerrona , por más sesgados que sean, no deben ser censurados. Dejen a la gente decidir qué ver y qué creer
76512;NO #CierrenWillax y NO  #CierrenLaEncerrona , por más sesgados que sean, no deben ser censurados. Dejen a la gente decidir qué ver y qué creer
82754;“Me alegro de que Cuba y Venezuela no reciban vacunas”. Miserable como él solo, @jaimebaylys celebrando la muerte. Luego los fachos no quieren que #CierrenWillax. https://t.co/r9ttrWKrwp
03782;"Este vídeo explica cómo quejarse de los medios q desinformar como la letrina de Willax, q con sus mentiras genera odio en el país. A más quejas más le dolerá en los bolsillos a esos mentirosos
.
#cierrenWillax
Borracho
Porky
#vacanciaPresidendialYa Ivermectina
#CierrenLaEncerrona https://t.co/UNmwoFeUlc"
62529;En Willax son tan malos, que le dan un programa a Carla García para que haga el ridículo 😏 #CierrenWillax
14661;"Y tu, ya te diste cuenta q cualquier cosa era mejor q un gobierno comunista?

Ya te diste cuenta q te agarraron de imbécil?

QUE HARAS AHORA?

#CierrenWillax #CierrenLaEncerrona #VacanciaPedroCastillo #CuartoPoder #PuntoFinal #Panorama #Vacunaton
#VacanciaPresidencialYa https://t.co/uZBbo0W2uE"
36130;Me da risa que la respuesta de los fachos a #CierrenWillax sea #CierrenLaEncerrona porque... yes that too
73699;NO #CierrenWillax y NO  #CierrenLaEncerrona , por más sesgados que sean, no deben ser censurados. Dejen a la gente decidir qué ver y qué creer
39045;🔴 Los momentos más memorables que dejó El Show de #LopezAliaga borracho, el que prometió hacernos “potencia mundial”. #CierrenWillax #LopezAliagaBorracho #Porky 🍷🥃 https://t.co/swRtz7abSg
26533;🔴 Los momentos más memorables que dejó El Show de #LopezAliaga borracho, el que prometió hacernos “potencia mundial”. #CierrenWillax #LopezAliagaBorracho #Porky 🍷🥃 https://t.co/swRtz7abSg
87076;"@danielyovera Willax no es periodismo de investigación, ES UNA CLOACA CREADORA DE FAKES NEWS!!!
#CierrenWillax"
78113;🔴 Los momentos más memorables que dejó El Show de #LopezAliaga borracho, el que prometió hacernos “potencia mundial”. #CierrenWillax #LopezAliagaBorracho #Porky 🍷🥃 https://t.co/swRtz7abSg
88293;#AguanteLaEncerrona . Increíble como un resumen informativo de 20 minutos es como criptonita para la DBA, al punto que pedir su cancelación sea la respuesta a #CierrenWillax, un canal de tv abierta
78308;"@justicierope Cierren ese inodoro Willax
#CierrenWillax"
88069;En Willax son tan malos, que le dan un programa a Carla García para que haga el ridículo 😏 #CierrenWillax
02593;"Hola! No soy de escribir nada por aquí, solo puros retweets✌🏽Solo pasaba por aquí para pedirles que me apoyen con un like o siguiendo mi emprendimiento en insta/Fb/tiktok en todos esta como @4love.angie Gracias!!! 

Aprovechando el #CierrenLaEncerrona #CierrenWillax"
40448;@JuandeDiosLiQu1 @twiter : es hora de q #CierrenWillax que incita a la violencia sexual con arma en mano
93762;🔴 Los momentos más memorables que dejó El Show de #LopezAliaga borracho, el que prometió hacernos “potencia mundial”. #CierrenWillax #LopezAliagaBorracho #Porky 🍷🥃 https://t.co/swRtz7abSg
98018;Pedir que cierren un canal o que censuren a un diario o radio solo por no opinar como uno: NO es de demócratas. Si buscas limitar las voces para solo escuchar la que te gusta: NO eres demócrata. Atentos con quiénes gritan #CierrenWillax porque la libertad debe defenderse siempre
43554;"@jorgevillenal PERDEDOR. 
#CierrenWillax 
#CierrenWillax 
#CierrenWillax 
#CierrenWillax 
Bellido hazte una #CierrenWillax"
15075;@jorgevillenal Jajaja #CierrenWillax  el water de la dba
70339;🔴 Los momentos más memorables que dejó El Show de #LopezAliaga borracho, el que prometió hacernos “potencia mundial”. #CierrenWillax #LopezAliagaBorracho #Porky 🍷🥃 https://t.co/swRtz7abSg
43074;----Lima---- Dirigente politico opositor @lopezaliaga4 ,alias Porky, lanza una andanada de insultos contra el pte del Perú, @PedroCastilloTe e inventa mentiras,  en entrevista en evidente estado de embriaguez -- #CierrenWillax https://t.co/UGItDrdaZu
05636;@julianaoxenford todos al unísono #CierrenWillax
74241;"@jorgevillenal No, imbécil. 
Hay libertades hasta cierto límites, no tirando mierd@, ni engañando a la población... Como las vacunas, cuántas veces más se los tendremos que recordar. Y el periodismo que practican en ese canal no es periodismo pues.
Por ello #CierrenWillax"
69795;🔴 Los momentos más memorables que dejó El Show de #LopezAliaga borracho, el que prometió hacernos “potencia mundial”. #CierrenWillax #LopezAliagaBorracho #Porky 🍷🥃 https://t.co/swRtz7abSg
98628;@fkrklect El efecto willak, en todo su esplendor, zombie no escribas tonteras, y todos al unísono #CierrenWillax
40266;"@contracultural Si no les gusta a los del #Congreso el premier @GuidoPuka pues ya saben q hacer, o tendrán miedo q se puedan quesar sin sus frejoles?
Mmm..
Esta dejandolo hecho un idiota al Keikista de #EnriqueCastillo , jajajaa
#AgendaPolitica 
#CuartoPoder
#CierrenWillax"
73793;Canal basura #CierrenWillax
43236;"@Defensoria_Peru @noticias_tvperu @Agencia_Andina @larepublica_pe @elcomercio_peru @RPPNoticias @RadioNacionalFM @atvmasnoticias @diariocorreo @exitosape Y que se hace cuando la prensa comete libertinaje y terrorismo informativo?
Yo ya dejé de mirar TV nacional porque dicen puras tonterías. Debemos corregir la desinformación que se despliega en los dizque noticieros de la TV peruana. Da vergüenza. #CierrenWillax"
67456;"Amén. 🙏🕯
#CierrenWillax https://t.co/GunL9VUkOa"
66979;La única manera de que #CierrenLaEncerrona es denunciando el video donde incita a que #CierrenWillax en su canal de Youtube. https://t.co/hFg1V4uTRo
69986;#CierrenLaEncerrona que buena publicidad para Ocram y Romina, el único noticiero que te manda un abrazo.  #CierrenWillax eso sí son fakenews.
08865;@thelpmixer Jaja 10 segundos perdidos de mi tiempo   #CierrenWillax
48289;@KurwenI #CierrenWillax es la cloaca del periodismo
68480;@justicierope mejor #CierrenWillax
59427;"Fav ❤️
Si quieres que #CierrenLaEncerrona

RT 🔁
Si quieres que #CierrenWillax 

Comenta si estás contra la censura y a favor de la #VacanciaPresidencialYa"
94919;"@bkmika señora eduquese y deje de hablar falacias si no tiene argumentos ni pruebas. 
#cierrenWillax para que la gente deje de ser vaga y verifique la información que consume."
32806;A QUIEN GANO CARLA GARCIA #cierrenwillax
25094;#CierrenWillax si se cumplieran las leyes Willax no podría difundir fake news
15232;#CierrenWillax cuándo se cierra este canal basura?
79170;"@chrisbustc @FiscaliaPeru Cerremos Willax, en este vídeo explican cómo podemos quejarnos para que los multen y así les caiga donde más le duele.
#CierrenWillax  cerremoslo nosotros https://t.co/k7qwNk0eEn"
26788;"Este vídeo explica cómo quejarse de los medios q desinformar como la letrina de Willax, q con sus mentiras genera odio en el país. A más quejas más le dolerá en los bolsillos a esos mentirosos
.
#cierrenWillax
Borracho
Porky
#vacanciaPresidendialYa Ivermectina
#CierrenLaEncerrona https://t.co/UNmwoFeUlc"
49473;“Me alegro de que Cuba y Venezuela no reciban vacunas”. Miserable como él solo, @jaimebaylys celebrando la muerte. Luego los fachos no quieren que #CierrenWillax. https://t.co/r9ttrWKrwp
66049;“Me alegro de que Cuba y Venezuela no reciban vacunas”. Miserable como él solo, @jaimebaylys celebrando la muerte. Luego los fachos no quieren que #CierrenWillax. https://t.co/r9ttrWKrwp
29379;En Willax son tan malos, que le dan un programa a Carla García para que haga el ridículo 😏 #CierrenWillax
40136;#LopezAliaga alias #Porky da una entrevista en vivo arrastrando las palabras y en evidente estado de ebriedad. Nos  salvamos de este asco de borracho. #CierrenWillax https://t.co/0ZmINOV2DM
73537;🔴 Los momentos más memorables que dejó El Show de #LopezAliaga borracho, el que prometió hacernos “potencia mundial”. #CierrenWillax #LopezAliagaBorracho #Porky 🍷🥃 https://t.co/swRtz7abSg
57568;#LopezAliaga alias #Porky da una entrevista en vivo arrastrando las palabras y en evidente estado de ebriedad. Nos  salvamos de este asco de borracho. #CierrenWillax https://t.co/0ZmINOV2DM
10629;Fav ♥️si quieres que #CierrenWillax
93412;"En serio van a seguir apoyando a este partido?
#VacanciaPresidencialYa 

#VacanciaPresidencialYa #VacanciaYa #CierrenWillax #RenunciaYa Porky #CierrenLaEncerrona Borracho Renovación Popular https://t.co/JadV1TXJJT"
07873;#LopezAliaga alias #Porky da una entrevista en vivo arrastrando las palabras y en evidente estado de ebriedad. Nos  salvamos de este asco de borracho. #CierrenWillax https://t.co/0ZmINOV2DM
26435;🔴 Los momentos más memorables que dejó El Show de #LopezAliaga borracho, el que prometió hacernos “potencia mundial”. #CierrenWillax #LopezAliagaBorracho #Porky 🍷🥃 https://t.co/swRtz7abSg
25256;"Y tu, ya te diste cuenta q cualquier cosa era mejor q un gobierno comunista?

Ya te diste cuenta q te agarraron de imbécil?

QUE HARAS AHORA?

#CierrenWillax #CierrenLaEncerrona #VacanciaPedroCastillo #CuartoPoder #PuntoFinal #Panorama #Vacunaton
#VacanciaPresidencialYa https://t.co/uZBbo0W2uE"
93350;"Fav ❤️
Si quieres que #CierrenWillax 

RT 🔁
Si quieres que #CierrenLaEncerrona"
32099;NO #CierrenWillax y NO  #CierrenLaEncerrona , por más sesgados que sean, no deben ser censurados. Dejen a la gente decidir qué ver y qué creer
43363;"“Se escandalizan porque Porky se tomó unos tragos y le dicen borracho pero NO cuando su congresista dijo que fuma marihuana y se prendía en plena sesión de Congreso”

Morado: ¿el que se escandalizó de eso no fuiste tú?

Ahora pides #CierrenWillax y lloras por #CierrenLaEncerrona"
45093;Me da risa que la respuesta de los fachos a #CierrenWillax sea #CierrenLaEncerrona porque... yes that too
