;text
91520;"la forma en la que los cuatro son una familia 😭😭
#MTVHottest twenty one pilots https://t.co/lZu47piBau"
96804;"1 RT = 1 VOTO
DAN VOTOS DOBLES, HÁGANLO O COMENTEN SU COMIDA TRADICIONAL CON LOS #
#MTVHottest BTS @BTS_twt"
16640;"Desde hoy los votos cuentan doble, comenten su comida favorita 

#MTVHottest BTS @BTS_twt"
83424;"@Angivvp Quizás patience, por todo el revuelo con KSI, pero aún así me gusta, por lo menos las partes de dom
#MTVHottest YUNGBLUD"
21313;@iPR0TECT94 Sudáfrica #MTVHottest Harry Styles (@Harry_Styles)
17569;"Trescientos cuarenta y dos
#MTVHottest YUNGBLUD"
64040;"Comenzamos con la palabra clave para recordar la primera visita de bangtan a Chile, utiliza:

RedBulletMemories 🇨🇱 más el ht de votación #MTVHottest BTS @BTS_twt y así apoyamos a los chicos con votos https://t.co/pFTfzngmQk"
67778;".@twentyonepilots se encuentra en CUARTO PUESTO en los MTV Hottest. Esta semana los votos cuentan el DOBLE asi que votemos y demos RT.

─ Toda esta semana haremos dinamicas para juntar votos. Dicho eso, respondan x10 veces + '#MTVHottest twenty one pilots'. https://t.co/uD8BRiOl1k"
63588;"Hoy los votos para MTV cuentan el DOBLE por el ""error"" de la primera semana. Recuerden que los RT cuentan como voto. Comenten sus tres colores favoritos

#MTVHottest BTS @BTS_twt"
97953;"Yoongi sentándose en el sofá, Jungkook arriba de Yoongi, Taehyung arriba de Jungkook arriba de Yoongi, Jimin sacándole una foto a Yoongi y por último Hobi sacándole una foto a todos. 

#MTVHottest BTS @BTS_twt
https://t.co/bNNEKbuzxS"
33898;"HOY LOS VOTOS CUENTAN EL DOBLE

RT= UN VOTO
¿QUE SIGNO SON?

#MTVHottest BTS @BTS_twt"
64673;"Hoy los votos para MTV cuentan el DOBLE por el ""error"" de la primera semana. Recuerden que los RT cuentan como voto. Comenten sus tres colores favoritos

#MTVHottest BTS @BTS_twt"
62468;"@swkoogie @BTS_twt Peine para peinar el pelo de un pelón 
#MTVHottest BTS @BTS_twt"
00801;"Sácame de esta cuarentena 😵‍💫
#MTVHottest J Balvin"
23589;"Trescientos cuarenta y tres
#MTVHottest YUNGBLUD"
00996;"México
#MTVHottest BTS @BTS_twt"
29219;"Buenos días💜
Como sabrán estos votos valen el doble a partir de hoy hasta el 9 de agosto ( #MTVHottest BTS @BTS_twt) así que a aumentar esos números.
¿les ah sucedido algo paranormal?
Si pudieran regresar al pasado cuando no había pandemia ¿que harían?
¿Cuál es su sueño? https://t.co/gB1E3NewX7"
01248;"Esto ya no es gracioso. Se los juro.
#MTVHottest BTS @BTS_twt https://t.co/0n2eWP4OSZ"
50688;"Trescientos cuarenta y cinco
#MTVHottest YUNGBLUD"
59675;"@sweetjkland @BTS_twt Julio seguimos de fiesta! 

#MTVHottest BTS @BTS_twt"
67204;"Trescientos cuarenta y cuatro
#MTVHottest YUNGBLUD"
39947;"NAMJOON DIJO QUE LLEVA 10 AÑOS SIENDO ARMY 😭

#MTVHottest BTS @BTS_twt"
63689;"- responde con dos canciones que empiecen con la letra L
I vote #MTVHottest Twenty One Pilots"
50890;"📌 BTS Se convierte en el primer acto en la historia en Tener 3 MV que sobrepasan Los 20 millones de likes. 
#MTVHottest BTS @BTS_twt
-🍓 https://t.co/BrKhWD3pgK"
90470;OK, RÁPIDO HOY LOS VOTOS CUENTAN EL DOBLE, ASÍ QUE SI VISTE ESTE TWEET ESTÁS OBLIGADO A DARLE RT Y COMENTAR POR SEPARADO 8 CANCIONES DE BANGTAN Y LOS MESES DEL AÑO + #MTVHottest BTS @BTS_twt
83213;"Oigan no creen que esté año Army Colombia se ha ilusionado mucho con un posible concierto de BTS en el país???? 

#MTVHottest BTS @BTS_twt"
21665;"Trescientos cuarenta y ocho
#MTVHottest YUNGBLUD https://t.co/ZyWWbhxDZB"
63409;"@YDMM07HOBI @BTS_twt Perú 
#MTVHottest BTS @BTS_twt"
77378;"@BarraSheno @BTS_twt Géminis, según mi mamá, los doble cara jajaja 
#MTVHottest BTS @BTS_twt"
05632;"Amix quiero ser tu JAHSJAHJA yo quiero los comics, los cds *toda la merch luego* y...bueno eso 
#MTVHottest YUNGBLUD https://t.co/IKuvkZsHT5"
88832;no he escuchado ninguna #MTVHottest Twenty One Pilots https://t.co/bXD6hGw1Za
24546;SI VIENES ENTRANDO A TWITTER LES INFORMO QUE YA ESTÁN CONTANDO LOS VOTOS DOBLES EN ESTÁ VOTACIÓN, LOS RT CUENTA COMO VOTO, SI ESTE TWEET SALE EN TU TL DA RT A ESTE TWEET Y COMENTA LOS DÍAS DE LA SEMANA: #MTVHottest BTS @BTS_twt
39879;"Hoy los votos para MTV cuentan el DOBLE por el ""error"" de la primera semana. Recuerden que los RT cuentan como voto. Comenten sus tres colores favoritos

#MTVHottest BTS @BTS_twt"
49317;"está fue la reacción de Taehyung cuando Yoongi subió una selca a twitter y el estaba haciendo un vlive ♡

#MTVHottest BTS @BTS_twt https://t.co/ovxlSI7snU"
20546;"Por qué estoy llorando?

#MTVHottest BTS @BTS_twt  https://t.co/r1EqK78iYe"
48197;"[📊] @BTS_twt se convierte en el artista con las tres descargas digitales más vendidas de este año en los Estados Unidos 🎊

1- #BUTTER 
2- #PTD
3- #Dynamite 

Cr.chartdata | Trad.Blackswan 𝖆𝖇𝖗𝖆𝖝𝖆𝖘💫
#MTVHottest BTS @BTS_twt"
14530;"Los votos dobles para estás votaciones ya han comenzado a contar, así que comenten 5 frutas, 3 animales más su materia favorita utilizando el hashtag.

#MTVHottest BTS @BTS_twt"
78721;"Trescientos cuarenta y siete
#MTVHottest YUNGBLUD"
17667;"Ya abrí el álbum y me toco el vhope en el regalo de weverse y el álbum genteee, estoy gritando son super lindas!!! 😭💜

Les saque foto con una mejor cámara para que puedan verlas, ojalá la calidad sea mejor :')
I vote @BTS_twt as 2021 MTV Hottest Summer Superstar
#MTVHottest BTS https://t.co/R9iemi0l7z"
89220;"Trescientos cuarenta y nueve
#MTVHottest YUNGBLUD"
71817;SI VIENES ENTRANDO A TWITTER LES INFORMO QUE YA ESTÁN CONTANDO LOS VOTOS DOBLES EN ESTÁ VOTACIÓN, LOS RT CUENTA COMO VOTO, SI ESTE TWEET SALE EN TU TL DA RT A ESTE TWEET Y COMENTA LOS DÍAS DE LA SEMANA: #MTVHottest BTS @BTS_twt
81313;"Trescientos cincuenta
#MTVHottest YUNGBLUD"
93284;"que temones pero el de Avril
I vote Harry Styles for #MTVHottest https://t.co/CqIDDzetNi"
75202;"@ARMYForce_votos @ARMYForce_Peru @BTS_twt México: Ciudad de México 

#MTVHottest BTS @BTS_twt"
82087;@iPR0TECT94 venezuela #MTVHottest Harry Styles (@Harry_Styles)
48294;"Trescientos cincuenta y uno
#MTVHottest YUNGBLUD"
20096;"Hoy los votos para MTV cuentan el DOBLE por el ""error"" de la primera semana. Recuerden que los RT cuentan como voto. Comenten sus tres colores favoritos

#MTVHottest BTS @BTS_twt"
