;text
31499;Los medios no lo van a decir porque están en campaña por la #VacanciaPedroCastillo, pero es un GOLAZO que hoy los ministros y ministras estén haciendo actividades en la calle, con la gente, ensuciándose los zapatos. Ante los ataques, más humildad, más trabajo, más PUEBLO. https://t.co/9SeiOTVY3w
73313;"#ULTIMOMINUTO 
Al menos 10 congresistas de PL estarían renunciando al partido !
Es ahora !
#VacanciaPedroCastillo 
Fuente: Radio Ucayali"
12130;"#ULTIMOMINUTO 
Al menos 10 congresistas de PL estarían renunciando al partido !
Es ahora !
#VacanciaPedroCastillo 
Fuente: Radio Ucayali"
19853;"📢La gran marcha del 1/08 responde al engreído de Cerrón #GuidoBellido.
La cartera ministerial del acusado por apología y vínculos con el terrorismo, es una provocación para el pueblo, quien no dejará las calles!!
#VacanciaPedroCastillo
#VacanciaYa
@soyfdelrincon
@PolloFarsantePe https://t.co/CGBOavGpx8"
49346;"🔴El presidente es un SERVIDOR PUBLICO, debe gobernar con transparencia desde palacio, donde existen cámaras y registros de todos sus movimientos. El pueblo está en la potestad de auditar todos sus movimientos porque es el PUEBLO quien paga los gastos!

#VacanciaPedroCastillo https://t.co/5YXxlIn08e"
31939;"#ULTIMOMINUTO 
Al menos 10 congresistas de PL estarían renunciando al partido !
Es ahora !
#VacanciaPedroCastillo 
Fuente: Radio Ucayali"
34786;#VacanciaPedroCastillo oye tu COJUDIGNO que te la agarras contra Wong y Alicorp empresas privadas que pagan impuestos y dan trabajo porque no te indignas con tu papi Castillo que si piensa gastar tus impuestos en ronderos y además contrata ineptos para manejar el país. https://t.co/fLCjDcHqUV
99584;"📢La gran marcha del 1/08 responde al engreído de Cerrón #GuidoBellido.
La cartera ministerial del acusado por apología y vínculos con el terrorismo, es una provocación para el pueblo, quien no dejará las calles!!
#VacanciaPedroCastillo
#VacanciaYa
@soyfdelrincon
@PolloFarsantePe https://t.co/CGBOavGpx8"
47072;"Los veo muy tibios en el @congresoperu con Lescano de Asesor. ¿Cómo va la compra venta de conciencias por allá? ¿Ya se olvidaron que el pueblo los puso en su curul?

#VacanciaPedroCastillo"
33090;#VacanciaPedroCastillo damnificados por terremoto ocurrido en Sullana Piura el 30/7 último, hta el momento no reciben ni frazadas d gobierno. https://t.co/rzmGpLqDoa
85862;Cinco días de desgobierno #VacanciaPedroCastillo https://t.co/T9aSUgYXGc
11878;Un asesino es el Ministro de Relaciones Exteriores. No fue un autor mediato,NO, el mismo con sus propias manos asesinó cobardemente a inocentes. Señores @congresoperu @CCFFAA_PERU defiendan la Patria. Tiene la obligación de hacerlo. #VacanciaPedroCastillo https://t.co/DAwdgJQtjT
31848;@Valkiri08467701 @diariocorreo No cumple con los requisitos del puesto ese nombramiento se cae más rápido que la dignidad de los caviares. #VacanciaPedroCastillo
47808;Un asesino es el Ministro de Relaciones Exteriores. No fue un autor mediato,NO, el mismo con sus propias manos asesinó cobardemente a inocentes. Señores @congresoperu @CCFFAA_PERU defiendan la Patria. Tiene la obligación de hacerlo. #VacanciaPedroCastillo https://t.co/DAwdgJQtjT
29861;"Que humillante es ver a Guido Bellido utilizar los helicópteros de la Fuerza Aérea y tener a 2 cobardes militares de seguridad !
#VacanciaPedroCastillo"
06274;El ministro puesto por vladimir cerron #VacanciaPedroCastillo https://t.co/dZA7lU74X8
34240;"Las dos terceras partes del pueblo peruano quieren urgente ---&gt; #VacanciaPedroCastillo"
91620;Siempre el terruco #Bermejo figureti se cree el gran líder y es un miserable tuco. #VacanciaPedroCastillo
18368;#VacanciaPedroCastillo Vamos tropa, a paso de vencedores... https://t.co/beB6g3XIWE
91520;"Las dos terceras partes del pueblo peruano quieren urgente ---&gt; #VacanciaPedroCastillo"
42050;@sigridbazan Ay esta señora cree que es reportera dando noticias que ya sabemos y lo peor que son temas que nos afecta pero para ti es la súper idea, ay Dios que estamos pagando #TerrorismoNuncaMas #BellidoRenunciaYa #VacanciaPedroCastillo
04612;"El Presidente de las Rondas Campesinas quiere mandar 40Mil ronderos a Lima para luchar contra ""la inseguridad ciudadana"". Si a él le gusta que lo agarren a chicotazos que los mande a su pueblo. ¡En Lima NO los queremos!
#VacanciaPedroCastillo"
29507;"Acéptalo, tu ""Dignidad"" fue más.🤡
#AceptaTuVoto
#VacanciaPedroCastillo 
#VacanciaPresidencialYa https://t.co/e6MjrZn33M"
75202;Asi como canal N, refresca  la memoria sobre el pasado de Héctor Bejar, debería hacer lo mismo cada vez que se pronuncia el ASESINO, DICTADOR y LADRON de Alberto Fujimori. #VacanciaPedroCastillo https://t.co/RnlAAggY93
64771;"#VacanciaPedroCastillo ya es la tendencia número 1 en todo el Perú. 
El verdadero pueblo se está manifestando en calles, redes sociales y medios de comunicación. 
Seguiremos así hasta que se logre la vacancia."
42721;Asi como canal N, refresca  la memoria sobre el pasado de Héctor Bejar, debería hacer lo mismo cada vez que se pronuncia el ASESINO, DICTADOR y LADRON de Alberto Fujimori. #VacanciaPedroCastillo https://t.co/RnlAAggY93
95777;"Las dos terceras partes del pueblo peruano quieren urgente ---&gt; #VacanciaPedroCastillo"
49704;"@jorgevillenal No lo podemos permitir!
Debe haber Justicia y sacar a este asesino impresentable 
#BejarAsesinoTerrorista 
#BejarAsesinoTerrorista
#VacanciaPedroCastillo 
#VacanciaPedroCastillo 
#CastilloPresidenteIlegitimo"
45700;"Como lo dije cada minuto que pase la traición entre congresistas será  mayor !
Más pesa el sueldo que salvarnos de los narcoterroristas !
#VacanciaPedroCastillo"
44000;#VacanciaPedroCastillo por incapacidad mental
55274;"Que demonios hace acá...Acaso quiere volver a Perú en Venezuela?
Sé que hasta la pregunta es tonta, pero los que dicen #FujimoriNuncaMas no se dan cuenta. Definitivamente no hay peor ciego que el que no quiere ver.
#VacanciaPedroCastillo 
#VacanciaYa https://t.co/IHgJqw2gGI"
60192;El ministro puesto por vladimir cerron #VacanciaPedroCastillo https://t.co/dZA7lU74X8
69536;"Se graduó hace 2 años según información de SUNEDU. Demasiada inexperiencia para gestionar miles de millones. Mientras más inexperto, más manipulable.
#AsumeTuVoto 
#AsumeTuVotoIdiota 
#VacanciaYa 
#VacanciaPedroCastillo https://t.co/CH3BS26X03 https://t.co/qyjIOEynbO"
81153;"Como lo dije cada minuto que pase la traición entre congresistas será  mayor !
Más pesa el sueldo que salvarnos de los narcoterroristas !
#VacanciaPedroCastillo"
43714;Para lograr la #VacanciaPedroCastillo será menester convencer (comprarlos) a estas chuchupes. https://t.co/Fkr45L0VG3
74729;Los medios no lo van a decir porque están en campaña por la #VacanciaPedroCastillo, pero es un GOLAZO que hoy los ministros y ministras estén haciendo actividades en la calle, con la gente, ensuciándose los zapatos. Ante los ataques, más humildad, más trabajo, más PUEBLO. https://t.co/9SeiOTVY3w
68320;@romerocaroperu Para cuándo la #VacanciaPedroCastillo https://t.co/RsPvtU9DRu
56353;"Los veo muy tibios en el @congresoperu con Lescano de Asesor. ¿Cómo va la compra venta de conciencias por allá? ¿Ya se olvidaron que el pueblo los puso en su curul?

#VacanciaPedroCastillo"
04069;"@leonie_roca Se graduó hace 2 años según información de SUNEDU. Demasiada inexperiencia para gestionar miles de millones. Mientras más inexperto, más manipulable.
#AsumeTuVoto 
#AsumeTuVotoIdiota 
#VacanciaYa 
#VacanciaPedroCastillo https://t.co/zaIFJYp159"
75745;"El tema vacancia se ha convertido en la expresión de la intolerancia al Terrorismo, al Comunismo, a la izquierda radical. De ninguna manera, como afirma Vladimir Cerrón, es rechazo a lo  provinciano o andino. 
¡Es Defender a nuestra Patria!
#VacanciaPedroCastillo"
86145;"Como les habrá  dolido a periódicos y TV escuchar ""Willax es del Pueblo"" en la marcha multitudinaria que han sacado sus portadas con la imagen de miles de Peruanos en las calles !
No les quedaba de otra
@willaxtv 
#VacanciaPedroCastillo"
28996;Los medios no lo van a decir porque están en campaña por la #VacanciaPedroCastillo, pero es un GOLAZO que hoy los ministros y ministras estén haciendo actividades en la calle, con la gente, ensuciándose los zapatos. Ante los ataques, más humildad, más trabajo, más PUEBLO. https://t.co/9SeiOTVY3w
62688;"Acéptalo, tu ""Dignidad"" fue más.🤡
#AceptaTuVoto
#VacanciaPedroCastillo 
#VacanciaPresidencialYa https://t.co/e6MjrZn33M"
95489;Brutal reportaje de Panorama, destruyendo uno a uno a los ministros del portero Castillo, una banda de borrachos, corruptos, traficantes, terroristas y demás flagelos sociales. Esta porquería de gobierno debe caer, ¡YA! #VacanciaPedroCastillo
16517;Asi como canal N, refresca  la memoria sobre el pasado de Héctor Bejar, debería hacer lo mismo cada vez que se pronuncia el ASESINO, DICTADOR y LADRON de Alberto Fujimori. #VacanciaPedroCastillo https://t.co/RnlAAggY93
24932;"@sigridbazan TESORO AHORA SÍ TE CAISTE DE CARA. 😂🤣🤣🤭
No te funcionó el arrastre Camarada tesoro. 😅🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🐛🤑🤑🤑🤑
#NoSeNegociaConTerroristas
#VacanciaPedroCastillo el
#VacanciaPedroCastillo asno
#VacanciaPedroCastillo de chota"
44259;Los medios no lo van a decir porque están en campaña por la #VacanciaPedroCastillo, pero es un GOLAZO que hoy los ministros y ministras estén haciendo actividades en la calle, con la gente, ensuciándose los zapatos. Ante los ataques, más humildad, más trabajo, más PUEBLO. https://t.co/9SeiOTVY3w
19907;"🤬 Gracias a los #Cojudignos por el desastre económico del Perú. 📉🔻⬇️
#VacanciaPedroCastillo 
#laencerrona 
Julio Velarde se va del BCR https://t.co/rgO3RkMKeA"
98914;Asi como canal N, refresca  la memoria sobre el pasado de Héctor Bejar, debería hacer lo mismo cada vez que se pronuncia el ASESINO, DICTADOR y LADRON de Alberto Fujimori. #VacanciaPedroCastillo https://t.co/RnlAAggY93
49957;Un asesino es el Ministro de Relaciones Exteriores. No fue un autor mediato,NO, el mismo con sus propias manos asesinó cobardemente a inocentes. Señores @congresoperu @CCFFAA_PERU defiendan la Patria. Tiene la obligación de hacerlo. #VacanciaPedroCastillo https://t.co/DAwdgJQtjT
18217;"#ULTIMOMINUTO 
Al menos 10 congresistas de PL estarían renunciando al partido !
Es ahora !
#VacanciaPedroCastillo 
Fuente: Radio Ucayali"
05644;#VacanciaPedroCastillo nuevas elecciones!
79174;Los medios no lo van a decir porque están en campaña por la #VacanciaPedroCastillo, pero es un GOLAZO que hoy los ministros y ministras estén haciendo actividades en la calle, con la gente, ensuciándose los zapatos. Ante los ataques, más humildad, más trabajo, más PUEBLO. https://t.co/9SeiOTVY3w
62498;"Este vídeo es en Lima, Peru , peruanos ya estamos como en VeneZuela !!

Bienvenido Foro de Sao Paolo, Maduro, Evo, y demás gobernantes !
Se les acabó sus arcas , quieren las nuestras??
#VacanciaPedroCastillo https://t.co/S0O38XGfAz"
01953;Tenemos que salir a la calle a sacar esos ministros de Pedro Castillo todos son criminales, terroristas,  borrachos y corruptos y #VacanciaPedroCastillo https://t.co/5rF6jP4Rjx
03403;"Que humillante es ver a Guido Bellido utilizar los helicópteros de la Fuerza Aérea y tener a 2 cobardes militares de seguridad !
#VacanciaPedroCastillo"
87110;"@willaxtv El traidor muestra su verdadera cara.
#TraidoralaPatria
#PeruContraelComunismo
#VacanciaPedroCastillo"
40706;@diariocorreo @GlademirAnaya Eso es lo que indicaron copar el 100% Lima no pueden darle más tiempo #VacanciaPedroCastillo
19842;Un asesino es el Ministro de Relaciones Exteriores. No fue un autor mediato,NO, el mismo con sus propias manos asesinó cobardemente a inocentes. Señores @congresoperu @CCFFAA_PERU defiendan la Patria. Tiene la obligación de hacerlo. #VacanciaPedroCastillo https://t.co/DAwdgJQtjT
66213;"Las dos terceras partes del pueblo peruano quieren urgente ---&gt; #VacanciaPedroCastillo"
79620;#VacanciaPedroCastillo damnificados por terremoto ocurrido en Sullana Piura el 30/7 último, hta el momento no reciben ni frazadas d gobierno. https://t.co/rzmGpLqDoa
42564;"#VacanciaPedroCastillo ya es la tendencia número 1 en todo el Perú. 
El verdadero pueblo se está manifestando en calles, redes sociales y medios de comunicación. 
Seguiremos así hasta que se logre la vacancia."
48001;"A cinco días del desgobierno del filoterrorista @PedroCastilloTe comete tantas ilegalidades que el pueblo, todos los días sale a las calles, y el mitin del  01/08 más grande de nuestra historia republicana, para expresar contundente rechazo al comunismo 
#VacanciaPedroCastillo"
30409;"El tema vacancia se ha convertido en la expresión de la intolerancia al Terrorismo, al Comunismo, a la izquierda radical. De ninguna manera, como afirma Vladimir Cerrón, es rechazo a lo  provinciano o andino. 
¡Es Defender a nuestra Patria!
#VacanciaPedroCastillo"
58113;Esperemos no pase mucho tienpo para que suceda !!!. #VacanciaPedroCastillo
75109;Un asesino es el Ministro de Relaciones Exteriores. No fue un autor mediato,NO, el mismo con sus propias manos asesinó cobardemente a inocentes. Señores @congresoperu @CCFFAA_PERU defiendan la Patria. Tiene la obligación de hacerlo. #VacanciaPedroCastillo https://t.co/DAwdgJQtjT
28740;Será que ha salido el sol por #VacanciaPedroCastillo?
87717;Un asesino es el Ministro de Relaciones Exteriores. No fue un autor mediato,NO, el mismo con sus propias manos asesinó cobardemente a inocentes. Señores @congresoperu @CCFFAA_PERU defiendan la Patria. Tiene la obligación de hacerlo. #VacanciaPedroCastillo https://t.co/DAwdgJQtjT
94914;Quinto día de gobierno y ya #VacanciaPedroCastillo es tendencia. Aunque no estoy de acuerdo con el hashtag, es un llamado a que compongan todo lo que están haciendo mal. Claro, como si les importara.
15048;"@JavierReyesP_ Dejemos de comer para darles una lección.
Los zurdos escriben cojudeces.
#VacanciaPedroCastillo"
19074;"27 años
Recién titulada
0 experiencia

Para un puesto que pide mínimo
10 años de experiencia
Estudios de post grado
Cerrón y Perú Libre están haciendo de los cargos públicos su chacra y ponen a gente incompetente

NO MÁS GENTE DE PERÚ LIBRE EN UN PAÍS RICO
#VacanciaPedroCastillo https://t.co/3SOBteiA3i"
95905;Simplemente orgulloso de que el Perú se levante. #VacanciaPedroCastillo https://t.co/SrpT3NLDEy
93154;"#VacanciaPedroCastillo ya es la tendencia número 1 en todo el Perú. 
El verdadero pueblo se está manifestando en calles, redes sociales y medios de comunicación. 
Seguiremos así hasta que se logre la vacancia."
23556;"Congresistas sin honor. Hacen juego con el Lápiz para no perder su sueldo. Políticos de siempre. No les importa el país. Vendidos. Solo hacen la finta y sacan sus cuentas.

Con el TERRORISMO no se dialoga. Dejen de estafar la pueblo.

#VacanciaPedroCastillo"
02176;"Acéptalo, tu ""Dignidad"" fue más.🤡
#AceptaTuVoto
#VacanciaPedroCastillo 
#VacanciaPresidencialYa https://t.co/e6MjrZn33M"
07585;Reitero: darle la confianza al gabinete Bellido es una afrenta miserable contra los miles de muertos por el terrorismo. #VacanciaPedroCastillo, de una vez.
26917;"Un solo camino visible 
Las calles lo exigen
#VacanciaPedroCastillo https://t.co/QNpdBXGvn1"
49025;"Congresistas sin honor. Hacen juego con el Lápiz para no perder su sueldo. Políticos de siempre. No les importa el país. Vendidos. Solo hacen la finta y sacan sus cuentas.

Con el TERRORISMO no se dialoga. Dejen de estafar la pueblo.

#VacanciaPedroCastillo"
42082;"Las dos terceras partes del pueblo peruano quieren urgente ---&gt; #VacanciaPedroCastillo"
12131;"Las dos terceras partes del pueblo peruano quieren urgente ---&gt; #VacanciaPedroCastillo"
94311;"El Presidente de las Rondas Campesinas quiere mandar 40Mil ronderos a Lima para luchar contra ""la inseguridad ciudadana"". Si a él le gusta que lo agarren a chicotazos que los mande a su pueblo. ¡En Lima NO los queremos!
#VacanciaPedroCastillo"
11394;"Los vecinos de Breña quieren que el Portero Pedro Castillo se vaya a vivir Palacio y los vecinos de twitter queremos que él se vaya a la CSM!
#VacanciaPedroCastillo"
31333;"Como lo dije cada minuto que pase la traición entre congresistas será  mayor !
Más pesa el sueldo que salvarnos de los narcoterroristas !
#VacanciaPedroCastillo"
40645;@esquinabaja #VacanciaPedroCastillo , ojalá y llegue el dia!
56260;"Como les habrá  dolido a periódicos y TV escuchar ""Willax es del Pueblo"" en la marcha multitudinaria que han sacado sus portadas con la imagen de miles de Peruanos en las calles !
No les quedaba de otra
@willaxtv 
#VacanciaPedroCastillo"
57056;"Que humillante es ver a Guido Bellido utilizar los helicópteros de la Fuerza Aérea y tener a 2 cobardes militares de seguridad !
#VacanciaPedroCastillo"
33920;"🔴Desprecio total a la @PoliciaPeru ,de #Castillo y su gente!
Se empezó a limitar sus funciones, al estilo de los motorizados bolivarianos de Venezuela o a las brigadas revolucionarias de Cuba.
Lo anunciaron y lo cumplieron desde el primer día!
#VacanciaPedroCastillo 
#VacanciaYa https://t.co/S2RVnLfnJh"
68480;Los que NO votamos por castillo pero teníamos almenos la esperanza de que Castillo haga bien las cosas se esfumó , ahora el Perú corre un verdadero riesgo de irse por un abismo ,  el comunismo no pasará en Perú  , luchemos desde cualquier parte del mundo. #VacanciaPedroCastillo https://t.co/LMpbDRWESV
05987;"Este vídeo es en Lima, Peru , peruanos ya estamos como en VeneZuela !!

Bienvenido Foro de Sao Paolo, Maduro, Evo, y demás gobernantes !
Se les acabó sus arcas , quieren las nuestras??
#VacanciaPedroCastillo https://t.co/S0O38XGfAz"
16741;YA NO MAS, VACANCIA PRESIDENCIAL SI AHORA ES ASI Y PONE DE PREMIER A UN INVESTIGADO POR TERRORISMO QUE SERA DENTRO DE UNOS AÑOS  Y ESTO SE EVIDENCIA ANTES DE LAS ELECCIONES Y APESAR DE TODO ESTO LA GENTE SEGUIA CIEGA #VacanciaPedroCastillo https://t.co/mVQNY90xXg
00776;"Como lo dije cada minuto que pase la traición entre congresistas será  mayor !
Más pesa el sueldo que salvarnos de los narcoterroristas !
#VacanciaPedroCastillo"
89960;"#ULTIMOMINUTO 
Al menos 10 congresistas de PL estarían renunciando al partido !
Es ahora !
#VacanciaPedroCastillo 
Fuente: Radio Ucayali"
88545;"📢En Perú se encuentra @MonederoJC, asesor de Maduro,Evo Morales entre otros dictadores comunistas, socialistas, maoistas, pensamiento Gonzalo, que llenó de TERRORISMO al Perú en los 80's.
Se reunió con @DinaErcilia, son un peligro para el país!
#VacanciaPedroCastillo
#VacanciaYa https://t.co/eXhRWoCvsi"
53120;Tenemos que salir a la calle a sacar esos ministros de Pedro Castillo todos son criminales, terroristas,  borrachos y corruptos y #VacanciaPedroCastillo https://t.co/5rF6jP4Rjx
56899;"Congresistas sin honor. Hacen juego con el Lápiz para no perder su sueldo. Políticos de siempre. No les importa el país. Vendidos. Solo hacen la finta y sacan sus cuentas.

Con el TERRORISMO no se dialoga. Dejen de estafar la pueblo.

#VacanciaPedroCastillo"
26434;"Este vídeo es en Lima, Peru , peruanos ya estamos como en VeneZuela !!

Bienvenido Foro de Sao Paolo, Maduro, Evo, y demás gobernantes !
Se les acabó sus arcas , quieren las nuestras??
#VacanciaPedroCastillo https://t.co/S0O38XGfAz"
34464;#VacanciaPedroCastillo damnificados por terremoto ocurrido en Sullana Piura el 30/7 último, hta el momento no reciben ni frazadas d gobierno. https://t.co/rzmGpLqDoa
79010;"Las dos terceras partes del pueblo peruano quieren urgente ---&gt; #VacanciaPedroCastillo"
19776;"@PrensaJaponesa Jajajaja, los zurdos escriben cada cojudez.
#VacanciaPedroCastillo"
43746;Pero tú dignidad fue primero verdad ? 🤡 #VacanciaPedroCastillo https://t.co/jEZIFukMEM
69089;Un asesino es el Ministro de Relaciones Exteriores. No fue un autor mediato,NO, el mismo con sus propias manos asesinó cobardemente a inocentes. Señores @congresoperu @CCFFAA_PERU defiendan la Patria. Tiene la obligación de hacerlo. #VacanciaPedroCastillo https://t.co/DAwdgJQtjT
