;text
02980;"✨EPIPHANY PARADISE ✨

En conmemoración al próximo aniversario de Epiphany, las calles de Corea se visten de hermosos banners para celebrar esta hermosa canción de  Seokjin

💜💜🐹Chunguyas!! 정말 감사합니다 BORAHAE!! 🙆🏻‍♀️💜🐹

Congratulations Jin 
#JIN #방탄소년단진 #진 @BTS_twt https://t.co/lOTpcyoe3w"
42597;"Te amo demasiado no sabes lo feliz que me haces y estoy muy orgullosa de ti!! &lt;333
CONGRATULATIONS JIN!!!
TE AMO TANTO
#240WinsForSeokjin
@BTS_twt https://t.co/ngOUNDwq2y"
72131;"Te amo demasiado no sabes lo feliz que me haces y estoy muy orgullosa de ti!! &lt;333
CONGRATULATIONS JIN!!!
TE AMO TANTO
#240WinsForSeokjin
@BTS_twt https://t.co/ngOUNDwq2y"
80261;"muchas felicidades mi vida, me siento tan feliz cada vez que despierto y veo que obtienes un nuevo logro, estoy muy orgullosa de ti, te mereces todo el amor del mundo &lt;3

CONGRATULATIONS JIN 
#72ndEpiphanyByJin 
#240WinsForSeokjin https://t.co/KRKNhKn6eQ"
10656;"✨EPIPHANY PARADISE ✨

En conmemoración al próximo aniversario de Epiphany, las calles de Corea se visten de hermosos banners para celebrar esta hermosa canción de  Seokjin

💜💜🐹Chunguyas!! 정말 감사합니다 BORAHAE!! 🙆🏻‍♀️💜🐹

Congratulations Jin 
#JIN #방탄소년단진 #진 @BTS_twt https://t.co/lOTpcyoe3w"
20256;"Una canción que es como una caricia al alma. Gracias por regalarnos esta canción y animarnos con tu hermosa voz, te mereces esto y mucho más.

CONGRATULATIONS JIN

🎉FELICIDADES JIN🎉
#72ndEpiphanyByJin 
#240WinsForSeokjin @BTS_twt #JIN 

 https://t.co/Y11wXT09vi"
89792;"muchas felicidades mi vida, me siento tan feliz cada vez que despierto y veo que obtienes un nuevo logro, estoy muy orgullosa de ti, te mereces todo el amor del mundo &lt;3

CONGRATULATIONS JIN 
#72ndEpiphanyByJin 
#240WinsForSeokjin https://t.co/KRKNhKn6eQ"
55109;"Nuestro WWH Jin se merece esto y más. 💜

CONGRATULATIONS JIN.
#72ndEpiphanyByJin
#240WinsForSeokjin
#방탄소년단진 @BTS_twt https://t.co/Rm9fx3BLi7"
20353;"CONGRATULATIONS JIN
Te mereces todo lo que has conseguido y mucho más, orgullosísima de ti rey 💜

#240WinsForSeokjin #72ndEpiphanyByJin
#방탄소년단진 #BTSJIN #진 #SEOKJIN @BTS_twt https://t.co/bDxCJos1H5"
64807;"muchas felicidades mi vida, me siento tan feliz cada vez que despierto y veo que obtienes un nuevo logro, estoy muy orgullosa de ti, te mereces todo el amor del mundo &lt;3

CONGRATULATIONS JIN 
#72ndEpiphanyByJin 
#240WinsForSeokjin https://t.co/KRKNhKn6eQ"
35520;"Congratulations Jin ♡

Kim Seokjin se convierte en el primer miembro de @BTS_twt en lograr 240 #1 combinados en iTunes en la historia de las plataformas! 

#방탄소년단진 #BTSJIN #Jin 
#240WinsForSeokjin
#72ndEpiphanyByJin https://t.co/YzVMDFTPA1"
80930;"Seokjin es el primer miembro de BTS en encabezar las listas de iTunes en 240 países con tres canciones! Felicidades al Rey

CONGRATULATIONS JIN
#240WinsForSeokjin #방탄소년단진 #72ndEpiphanyByJin #BTSJIN @BTS_twt https://t.co/x5zgLOYhki"
13729;"Una canción que es como una caricia al alma. Gracias por regalarnos esta canción y animarnos con tu hermosa voz, te mereces esto y mucho más.

CONGRATULATIONS JIN

🎉FELICIDADES JIN🎉
#72ndEpiphanyByJin 
#240WinsForSeokjin @BTS_twt #JIN 

 https://t.co/Y11wXT09vi"
65187;"Te amo demasiado no sabes lo feliz que me haces y estoy muy orgullosa de ti!! &lt;333
CONGRATULATIONS JIN!!!
TE AMO TANTO
#240WinsForSeokjin
@BTS_twt https://t.co/ngOUNDwq2y"
09825;"CONGRATULATIONS JIN
Te mereces todo lo que has conseguido y mucho más, orgullosísima de ti rey 💜

#240WinsForSeokjin #72ndEpiphanyByJin
#방탄소년단진 #BTSJIN #진 #SEOKJIN @BTS_twt https://t.co/bDxCJos1H5"
77090;"Nuestro WWH Jin se merece esto y más. 💜

CONGRATULATIONS JIN.
#72ndEpiphanyByJin
#240WinsForSeokjin
#방탄소년단진 @BTS_twt https://t.co/Rm9fx3BLi7"
74114;"muchas felicidades mi vida, me siento tan feliz cada vez que despierto y veo que obtienes un nuevo logro, estoy muy orgullosa de ti, te mereces todo el amor del mundo &lt;3

CONGRATULATIONS JIN 
#72ndEpiphanyByJin 
#240WinsForSeokjin https://t.co/KRKNhKn6eQ"
82369;"Orgullo es saber que Jin tuvo que haber pasado por muchas dificultades pero aún así logró amarse a sí mismo y brillar como solo él sabe ✨✨
Feliz aniversario de Epiphany ✨

CONGRATULATIONS JIN ✨
#240WinsForSeokjin #72ndEpiphanyByJin
#방탄소년단진 #BTSJIN #진 #SEOKJIN @BTS_twt https://t.co/Par4FZipTP"
36515;"Una canción que es como una caricia al alma. Gracias por regalarnos esta canción y animarnos con tu hermosa voz, te mereces esto y mucho más.

CONGRATULATIONS JIN

🎉FELICIDADES JIN🎉
#72ndEpiphanyByJin 
#240WinsForSeokjin @BTS_twt #JIN 

 https://t.co/Y11wXT09vi"
09379;"Nuestro WWH Jin se merece esto y más. 💜

CONGRATULATIONS JIN.
#72ndEpiphanyByJin
#240WinsForSeokjin
#방탄소년단진 @BTS_twt https://t.co/Rm9fx3BLi7"
64872;"CONGRATULATIONS JIN
Te mereces todo lo que has conseguido y mucho más, orgullosísima de ti rey 💜

#240WinsForSeokjin #72ndEpiphanyByJin
#방탄소년단진 #BTSJIN #진 #SEOKJIN @BTS_twt https://t.co/bDxCJos1H5"
50753;"Una canción que es como una caricia al alma. Gracias por regalarnos esta canción y animarnos con tu hermosa voz, te mereces esto y mucho más.

CONGRATULATIONS JIN

🎉FELICIDADES JIN🎉
#72ndEpiphanyByJin 
#240WinsForSeokjin @BTS_twt #JIN 

 https://t.co/Y11wXT09vi"
18944;"Te amo demasiado no sabes lo feliz que me haces y estoy muy orgullosa de ti!! &lt;333
CONGRATULATIONS JIN!!!
TE AMO TANTO
#240WinsForSeokjin
@BTS_twt https://t.co/ngOUNDwq2y"
24387;"CONGRATULATIONS JIN
Te mereces todo lo que has conseguido y mucho más, orgullosísima de ti rey 💜

#240WinsForSeokjin #72ndEpiphanyByJin
#방탄소년단진 #BTSJIN #진 #SEOKJIN @BTS_twt https://t.co/bDxCJos1H5"
57987;"Una canción que es como una caricia al alma. Gracias por regalarnos esta canción y animarnos con tu hermosa voz, te mereces esto y mucho más.

CONGRATULATIONS JIN

🎉FELICIDADES JIN🎉
#72ndEpiphanyByJin 
#240WinsForSeokjin @BTS_twt #JIN 

 https://t.co/Y11wXT09vi"
56513;"Te amo demasiado no sabes lo feliz que me haces y estoy muy orgullosa de ti!! &lt;333
CONGRATULATIONS JIN!!!
TE AMO TANTO
#240WinsForSeokjin
@BTS_twt https://t.co/ngOUNDwq2y"
68900;"muchas felicidades mi vida, me siento tan feliz cada vez que despierto y veo que obtienes un nuevo logro, estoy muy orgullosa de ti, te mereces todo el amor del mundo &lt;3

CONGRATULATIONS JIN 
#72ndEpiphanyByJin 
#240WinsForSeokjin https://t.co/KRKNhKn6eQ"
26464;"CONGRATULATIONS JIN
Te mereces todo lo que has conseguido y mucho más, orgullosísima de ti rey 💜

#240WinsForSeokjin #72ndEpiphanyByJin
#방탄소년단진 #BTSJIN #진 #SEOKJIN @BTS_twt https://t.co/bDxCJos1H5"
39523;"Una canción que es como una caricia al alma. Gracias por regalarnos esta canción y animarnos con tu hermosa voz, te mereces esto y mucho más.

CONGRATULATIONS JIN

🎉FELICIDADES JIN🎉
#72ndEpiphanyByJin 
#240WinsForSeokjin @BTS_twt #JIN 

 https://t.co/Y11wXT09vi"
83840;"Nuestro WWH Jin se merece esto y más. 💜

CONGRATULATIONS JIN.
#72ndEpiphanyByJin
#240WinsForSeokjin
#방탄소년단진 @BTS_twt https://t.co/Rm9fx3BLi7"
44096;"muchas felicidades mi vida, me siento tan feliz cada vez que despierto y veo que obtienes un nuevo logro, estoy muy orgullosa de ti, te mereces todo el amor del mundo &lt;3

CONGRATULATIONS JIN 
#72ndEpiphanyByJin 
#240WinsForSeokjin https://t.co/KRKNhKn6eQ"
01989;"CONGRATULATIONS JIN
Te mereces todo lo que has conseguido y mucho más, orgullosísima de ti rey 💜

#240WinsForSeokjin #72ndEpiphanyByJin
#방탄소년단진 #BTSJIN #진 #SEOKJIN @BTS_twt https://t.co/bDxCJos1H5"
23777;"Nuestro WWH Jin se merece esto y más. 💜

CONGRATULATIONS JIN.
#72ndEpiphanyByJin
#240WinsForSeokjin
#방탄소년단진 @BTS_twt https://t.co/Rm9fx3BLi7"
13286;"Gracias por esta canción que sana el alma, gracias por enseñarme a amarme a mi misma antes que a cualquier persona. Felicitaciones y te amo nini❤️🥺@BTS_twt
 #72ndEpiphanyByJin  
#방탄소년단진 #BTSJIN #JIN
 CONGRATULATIONS JIN https://t.co/6aOukd3VBB"
42086;"CONGRATULATIONS JIN
Te mereces todo lo que has conseguido y mucho más, orgullosísima de ti rey 💜

#240WinsForSeokjin #72ndEpiphanyByJin
#방탄소년단진 #BTSJIN #진 #SEOKJIN @BTS_twt https://t.co/bDxCJos1H5"
79942;"CONGRATULATIONS JIN
Al creador de canciones mágicas y que te llevan a un mundo, y tiempo diferente, Felicidades Jin!
Gracias por regalarnos tan bellas canciones como epiphany, gracias por hacer que me ame a mí misma 😭🤍. Me salvaste
#72ndEpiphanyByJin 
#방탄소년단진 #BTSJIN #JIN https://t.co/9m3kapEz7z"
74529;"Kim Seokjin es el primer miembro de BTS en lograr 240 #1 en ¡Tunes con tres canciones:

- Awake (58)
- Epiphany (72)
- Moon (110)

CONGRATULATIONS JIN ✨
#72ndEpiphanyByJin
#240WinsForSeokjin https://t.co/e6luSpxfbK"
19937;"Te amo demasiado no sabes lo feliz que me haces y estoy muy orgullosa de ti!! &lt;333
CONGRATULATIONS JIN!!!
TE AMO TANTO
#240WinsForSeokjin
@BTS_twt https://t.co/ngOUNDwq2y"
