;text
37155;"Sentencia por corrupción contra @VLADIMIR_CERRON sigue firme: rechazan casación
Corte Suprema rechazó la casación presentada por Cerrón q buscaba anular la sentencia impuesta en su contra Xlos delitos de corrupción de funcionarios….PERO QUE SUPERVISANDO ESSALUD??"
59462;Nombre exacto: Coco Raúl Contreras Córdova, exdirector de la DIRESA Junín y muy cercano a Vladimir Cerrón, voceado para asumir la conducción de EsSalud. https://t.co/ZNObRBVT44
95136;"Sentencia por corrupción contra @VLADIMIR_CERRON sigue firme: rechazan casación
Corte Suprema rechazó la casación presentada por Cerrón q buscaba anular la sentencia impuesta en su contra Xlos delitos de corrupción de funcionarios….PERO QUE SUPERVISANDO ESSALUD??"
51392;"Claro, ""Quien"" no se podía quedar tranquilo. Recordemos la nota de @IdlReporteros donde dice que insistía con ser ministro de salud. EsSalud es más botín. Se quiere poner el fajín del billetín https://t.co/RaOAHpMotf"
20002;Fiorella Molinelli miente. Dice q no sabía del trabajo q por por lo bajo hacía el comunicador Manuel Altamirano para ganar licitaciones millonarias. Sra, el señor Altamirano no solo era ASESOR suyo, sino q era muy cercano a ud. Él ha trabajado con ud en Essalud y en el Midis. 1/2 https://t.co/LdrjP3aWpb
03840;¿Qué labor cumplía Paola Ugaz en ESSALUD?
39077;"Club de las Farmacéuticas pagaba sobornos en EsSalud para obtener millonarios contratos en plena pandemia del Covid-19. Hasta los involucrados decían que ""todo está podrido"".

https://t.co/WMOiHHSqQf https://t.co/WeVTIMMK9d"
78946;Fiorella Molinelli miente. Dice q no sabía del trabajo q por por lo bajo hacía el comunicador Manuel Altamirano para ganar licitaciones millonarias. Sra, el señor Altamirano no solo era ASESOR suyo, sino q era muy cercano a ud. Él ha trabajado con ud en Essalud y en el Midis. 1/2 https://t.co/LdrjP3aWpb
79651;"@JoseCuetoAservi El sr. Cerron esta visitando instalaciones de essalud.

https://t.co/iD5Wmz8YGI"
79808;"Trayectoria de Molinelli

Asesora de Osinergmin 2006-2013 
Asesora de la Presidencia del Congreso -2012
Asesora MEF 2013-2014
Directora Indecopi
Viceministra MTC 2016
Viceministra Vivienda 2017
Ministra MIDIS
Presidenta Essalud

Chevere no?"
10785;¿Qué labor cumplía Paola Ugaz en ESSALUD?
44422;@rmapalacios Quizá para eso fue cerrón a Essalud !! Curaba a algún paciente con su sola presencia 😳
65608;@aspauzarazuri Entonces para que estaba no es su gestión, su admistración, que hacia en ESSALUD, cual su función solo decir no sabia nada, ella es la primera responsable de toda esa corrupción, el dia que haya sanciones ejemplares a las cabezas nuestras instituciones mejoraran.
02210;¿Por qué nadie cuestiona que Moninelli siga siendo presidenta de EsSalud?¿Por qué no salen los indignados pidiendo su salida inmediata?¿Por qué los medios no le dedican horas y páginas enteras?¿Por qué piden la salida de otros funcionarios solo por papeletas pero callan con ella? https://t.co/Btqu16aBaN
71522;Mensajes enviados entre las secretarias del expresidente y la actual jefa de EsSalud evidencian coordinaciones para afrontar la investigación fiscal del mayor escándalo político del gobierno de PPK. El próximo 24 de agosto es una fecha clave para el caso. https://t.co/5itC2wb4XY
88065;Mucho ojo. Salud es un sector donde Cerron quiere tener peso. Y dado lo ocurrido en Essalud, más ojo aún https://t.co/ugyP8w7tS0
34402;"Qué rabia me genera la corrupción institucional de Essalud. Mi hermana espera meses por medicinas que siempre están desabastecidas, pero la presidenta Fiorella Molinelli lideró la mafia del ""Club de las farmacéuticas""; fueron 18millones de sobrecostos en"
75362;Mensajes enviados entre las secretarias del expresidente y la actual jefa de EsSalud evidencian coordinaciones para afrontar la investigación fiscal del mayor escándalo político del gobierno de PPK. El próximo 24 de agosto es una fecha clave para el caso. https://t.co/5itC2wb4XY
09000;¿Por qué nadie cuestiona que Moninelli siga siendo presidenta de EsSalud?¿Por qué no salen los indignados pidiendo su salida inmediata?¿Por qué los medios no le dedican horas y páginas enteras?¿Por qué piden la salida de otros funcionarios solo por papeletas pero callan con ella? https://t.co/Btqu16aBaN
39362;"La política peruana de siempre. ""vamos a combatir la corrupción decían"". 👇🏻 #essalud https://t.co/tFsMWg9H13"
75142;"👉🏾 En los correos se muestra cómo Martín Vizcarra y la hoy jefa de EsSalud, Fiorella Molinelli, coordinan para afrontar la investigación fiscal del mayor escándalo político del gobierno de Pedro Pablo Kuczynski.

Suscríbete y accede a la publicación.

https://t.co/ZfGdMXUAB3"
44512;Nombre exacto: Coco Raúl Contreras Córdova, exdirector de la DIRESA Junín y muy cercano a Vladimir Cerrón, voceado para asumir la conducción de EsSalud. https://t.co/ZNObRBVT44
