;text
00643;"Es decir, @rmapalacios si puede cambiar de parecer sobre la Ivermectina y nadie decirle: ""Dios mío. ¿Qué estaremos pagando?"" sobre su tuit de mayo '20? Así como ella lo hace sobre una entrevista del '20? Interesante como EC, LR, Ocram, RC no dan RT a la aclaración. 🤔 https://t.co/YTok0AtTQi"
10786;"Los que te hablan del Long Covid para convencerte de 💉 , no te cuentan:
1-Que la ivermectina es también efectiva contra Long Covid (y más segura)
2-Que también hay ""Long vacuna"": Cada vez hay más reportes de personas con efectos adversos prolongados en el tiempo causados por 💉"
86243;"Por favor, la #ivermectina no combate el #covid19 , pero la #vacuna y el uso de la doble mascarilla si.   Por favor, cuida tu vida y la de tus seres queridos .

https://t.co/KMj9BqcpWx https://t.co/NWbvbrxl32"
76641;"Estudio prospectivo cohortes PUBLICADO peer-review en Cureus, hecho en India sobre 3.532 trabajadores de la salud.

Dos dosis de #Ivermectina, separadas por 72 horas, redujeron el riesgo de infección en un 83% en un mes de seguimiento.

Abro hilo 🧐. 1/
https://t.co/wy7hlfW4AW"
07207;"Siguen dándose recetas médicas no indicadas en pacientes COVID. Azitromicina, ivermectina, rivabarina. No son útiles. No gastes ni tu dinero ni tengas falsa expectativa. Si tienes COVID y tu oxigenación &gt;92% no necesitas eso."
32227;"Siguen dándose recetas médicas no indicadas en pacientes COVID. Azitromicina, ivermectina, rivabarina. No son útiles. No gastes ni tu dinero ni tengas falsa expectativa. Si tienes COVID y tu oxigenación &gt;92% no necesitas eso."
17185;"Siguen dándose recetas médicas no indicadas en pacientes COVID. Azitromicina, ivermectina, rivabarina. No son útiles. No gastes ni tu dinero ni tengas falsa expectativa. Si tienes COVID y tu oxigenación &gt;92% no necesitas eso."
08832;Essalud tiene nuevo jefe. Desde hoy, el cargo lo asume Mario Carhuapoma Yance, en reemplazo de Fiorella Molinelli. Pero, el nuevo jefe de la institución parece ser un doctor Ivermectina. https://t.co/xFPXqkiFvp
03782;"Este vídeo explica cómo quejarse de los medios q desinformar como la letrina de Willax, q con sus mentiras genera odio en el país. A más quejas más le dolerá en los bolsillos a esos mentirosos
.
#cierrenWillax
Borracho
Porky
#vacanciaPresidendialYa Ivermectina
#CierrenLaEncerrona https://t.co/UNmwoFeUlc"
44129;"Es decir, @rmapalacios si puede cambiar de parecer sobre la Ivermectina y nadie decirle: ""Dios mío. ¿Qué estaremos pagando?"" sobre su tuit de mayo '20? Así como ella lo hace sobre una entrevista del '20? Interesante como EC, LR, Ocram, RC no dan RT a la aclaración. 🤔 https://t.co/YTok0AtTQi"
18050;El nuevo jefe de Essalud Mario Carhuapoma se había reunido con el presidente Pedro Castillo durante la semana, según el registro de visitas. Carhuapoma ha brindado servicios sobre ivermectina a entidades regionales. https://t.co/s0gCrgG4JB
74372;"Siguen dándose recetas médicas no indicadas en pacientes COVID. Azitromicina, ivermectina, rivabarina. No son útiles. No gastes ni tu dinero ni tengas falsa expectativa. Si tienes COVID y tu oxigenación &gt;92% no necesitas eso."
33825;@PCaterianoB @EsSaludPeru Ya pues Taperiano la misma Mollineli recomendaba la Ivermectina...
57859;@jsudaka La Ivermectina es buena. Es doctor. Me imagino que usted no lo es pero debe respetar las elecciones y no arrodillaarse ante todo lo que diga la OMS
77708;@jsudaka Pues claro en su momento que aparece el.covid fue algo bueno luego dijeron que no pero fíjate ahora el covid no es un problema pulmonar es coronario en cierta forma la ivermectina no está tan mal. Lee los estudios actuales antes de criticar.
