;text
66881;"@PopiBraca Dijeron casi todos los colombianos creo... me voy a tirar el lance por uno.. tengo un vago recuerdo, pero creo que es anterior a tu debut. Aunq no especifica q haya sido como jugador profesional. Ojo (?)
Jonh Jairo Trellez."
43490;Culpable 🐷💙 https://t.co/KxTrqX5RJw
11776;@JairoGarciaHz @ignacio_corder0 @elferdoo @sobasvl_02 Jairo coqueto
76547;Tras anotar en el triunfo 2-0 de @ClubALoficial ante @Club_USMP, JAIRO CONCHA se ha convertido en el SEGUNDO goleador del cuadro íntimo (3) en @LigaFutProf 2021, igualado con Ricardo Lagos y detrás de Hernán Barcos (4). Además, es el TERCER más influyente de los 'Blanquiazules'. https://t.co/XhUHqeSTlo
33507;"Para culminar la cobertura de hoy. El destacado fue Jairo Concha, con un rendimiento ascendente en Alianza Lima. 

No decayó ante su mal momento y llegaba hasta entrenar por su cuenta, persistió y actualmente se lo ve  con más confianza y siendo atrevido en la ofensiva íntima. https://t.co/5RqL4Q0wDk"
27395;@jairocalixto estoy seguro Jairo que no te sientes bien diciendo tanta mamada en Tv. Te tengo como una persona inteligente y se nota tu incomodidad de estar hablando pendejadas en contra de tu verdadera creencia respecto del #dictadorlopez que lastima te traicionas a ti mismo
58336;Hoy a nueve años de su muerte, Jairo Varela sigue sonando bien fuerte! https://t.co/mSTNT0c4wS
47013;@jairocalixto Chingón mi buen Jairo Calixto!😂👍✌️
46624;Invito al Alcalde Jairo Yañez para que hagamos de Cùcuta la ciudad #Arcillera ! https://t.co/UhRoDXvWPq
38153;@DSMNUC Órale tienes permiso te dejo a Ale y Selina por si algún día las dibujas :D👍 https://t.co/nSkRIXnRXv
79297;"DESPUES DE UN REÑIDO ENCUENTRO @juniorclubsa y @cdtolima EMPATAN en partido de la fecha 4 por la Liga BetPlay DIMAYOR II 2021 jugado en el estadio Metropolitano Roberto Melendez de la ciudad de Barranquilla. 
Fotografias por: @jairo_kassiani @expojimetro  
https://t.co/Eex77O61yZ https://t.co/GJgJTpX9qv"
84200;@jairo_donaldo A qué si amor 😭😭😭😭
43589;@mparas96 A que no 🥺
81794;@LigaProEC @DelfinSC @CSEmelec Jajaja es pobres pavitos, cuando les ayudan cerradas las bocas se quedan pero cuando ayudan a otro equipo ahí si saltan como locas jaja Llora pavo llora jajaja
01345;"PORQUE LOS MITOS SON INMORTALES
Aniversario número 9 de la partida de JAIRO VARELA, el genio detrás de esa máquina sonora llamada 'GRUPO NICHE'. Gracias maestro, gracias por deleitar nuestro oído, alcahuetear muchas borracheras y motivar el coqueteo en la pista de baile. https://t.co/No5aSw0ivv"
96643;@rpintosa_ A mí me pasa con A Prueba de Fuego. El dolor con el que hablaba sobre su situación en la cárcel, lo que pasó cuando murió su mamá, me hace estremecer cada que escucho esa canción. Mi hijo de 13 años es fan de @gruponiche y por supuesto, de Jairo Varela.
91622;al final no era hincha del barca era hincha de messi
62944;"venia viendo historias de ig y vote una encuesta sin mirar y era de un sexshop que decia ""como amaneciste hoy?"" y las respuestas eran ""cogidita/pajita"" y encima vote pajita dios q verguenza quede como un gordo degenerado"
23073;@Jairo_Ramirez Parecen las hamburguesas del Cardenas
47264;@MolecularTrain1 Ora ¿Ya te reclamó Jairo?
39873;@Yhonnerys es una rata grande… @nilsonvidal no me sorprendió tanto en verdad.
91490;"Ya es hora de que el Jefe Directo de ""La Primera Línea"" pague por todos sus delitos, el primero es traición a la Patria."
03884;“No eran unos SANTOS” https://t.co/qCtGBWEMuF
56352;Pasamos de “el bebé igual se iba a morir” a “yo le iba a pagar pero el uribismo me quebró”. Ay! la Colombia (In)Humana
47588;Hoy a nueve años de su muerte, Jairo Varela sigue sonando bien fuerte! https://t.co/mSTNT0c4wS
08454;@JaimeJimenezlo5 Pregunto porque este idiota no ve a Venezolanos sus mujeres se prostituyen y en semáforos como pordioseros huyendo de la miseria, como dicen Venezuela comiendo m. y estos idiotas con ganas de comer m. y sus nietos serán los buscarán sobrevivir en otro país
50913;@jairo_trellez @GustavoBolivar Quien lo denuncia, es el mismo Bruno Díaz y éste milita en el Polo Democrático, no en el CD. Cortina de  humo que lanzan los cínicos para no perder a sus borregos
20128;"@jairo_trellez @GustavoBolivar Resultó ladrona de energía la rabiosa laika, no paga a los que le instalaron paneles solares ni la energía que le suministra @CodensaEnergia;  agravado con el delito de reconección fraudulenta.
https://t.co/Fh5X0MOU7F https://t.co/LaZA7qd2nC"
31939;@jairo_trellez @incoqchica @GustavoBolivar El asunto es muy sencillo Sr. @GustavoBolivar y no es asunto de política, ud no pagó, se hizo el Mk y afectó a un emprendedor. Cuantos acreedores callados a la espera de más ruido para salir a cobrarle? Uds son una pésima calidad de seres humanos, incluyo a su Petro.
34497;@jairo_trellez @ybieM1 @GustavoBolivar Que tal.... Escribe para justificarse el tramposo...y ya tenía varios meses la deuda....es un desgraciado y fanfarrón
23649;@Jairo_samu Una personita como tú piensa bonito , que atractivos se ven los hombres maduros … bravo 🙌🏻
67881;"@HumoVolcanico Con el equipo de ruiz descubrimos grandes jugadores (?)
Wilfrido Aguero dela rosa ?
Jaíro Molina Lukakuuuu?
Angelito acosta dimaria ?
Que horrible es este equipo 
No tengo nada contra Giraldo !! Es horrible"
67652;"Sin intenciones de que suene engreído de mi parte.
Me están buscando de todos los medios, cuando llegue con el único que hablaría es con Julio Leiva"
