;text
57066;Así conocí a Messi. Espero que ahora comprendáis muchas cosas. https://t.co/4kMg1KHzNy
46688;"Ya no hay Juegos Olímpicos
Messi lloró
Es domingo
Y esta por llover. https://t.co/KQIzq804bG"
48805;"🗣Leo Messi: ""Claro que aceptaría un homenaje en un futuro. Por esta gente todo, como desde que estoy aquí"". #FCBarcelona https://t.co/8wQOS4yTbt"
16769;Messi no pudo contener las lágrimas durante la rueda de prensa de despedida del F.C. Barcelona https://t.co/EHBiTqnnlo https://t.co/erwuV5IKX9
46178;"Messi: *llora*

Mateo: JAJA LA TENES ADENTRO MEGACABALLERO HIJO DE PUTA https://t.co/ah6JBumVu4"
88672;"🇪🇸  SECUELAS ⎮La Salida de Messi dejó la primera renuncia en el Barcelona y una dura carta contra Laporta

“Pasarás a la historia como el presidente que despidió a Messi”, dice la carta. 

Léela completa aquí:

https://t.co/5z5sv62zQ9 https://t.co/E8bFrVKEcs"
04899;la temporada que hubiera tenido messi:(
45505;Hay cosas que nunca superaré y se fue mi ídolo se fue del club de mis amores que desde pequeño me hizo soñar con todo se fue messi 😭😭💔💔 GRACIAS ETERNAS D10S No tengo placaras 😞 https://t.co/BEAQFru78O
57792;"Messi: *llora*

Mateo: JAJA LA TENES ADENTRO MEGACABALLERO HIJO DE PUTA https://t.co/ah6JBumVu4"
10273;Al Messi lo que le duele realmente son los 555.237.619 leuros que ya no puede repetir...
56071;Los hijos de Messi https://t.co/K7p0zyYT9Z
05956;Si Messi se va al PSG con Neymar, Mbappe y Ramos, sorteo 200 euros entre todos los RT de este tweet. Y sabéis que cumplo cabrones.
31904;"Que las ""lagrimas"" de Messi sean tendencia en Twitter me revuelve el estómago. Cuando os preocupen más los problemas en la educación, sanidad, etc.....tendremos un resquicio de esperanza...mientras....lo dudo mucho."
61511;Los hijos de Messi https://t.co/K7p0zyYT9Z
84962;messi no dijo una sola s en toda la conferencia de prensa https://t.co/GtVx5PSgJg
60228;"#AntonellaRoccuzzo compartió tierno mensaje para su esposo #LionelMessi por su salida del #Barcelona 

https://t.co/evU9yNMMXZ"
45984;"Messi después de 21 años en España: te lo explico porque e' una bolude'

Los que se van a pasear un mes a Madrid: ostia tío joder estoy cabreado"
69730;Scaloni mantuvo a Messi como jugador activo, abrazo https://t.co/NXwi36hfwR
60802;al final no era hincha del barca era hincha de messi
70114;Messi / El 4 suplente de Chacarita https://t.co/B8vDpQgbpQ
98051;Sergio Ramos despidiéndose del Real Madrid. Lionel Messi despidiéndose del FC Barcelona. Imágenes que, hace un par de meses, nadie imaginaba. EL FIN DE UNA ERA. https://t.co/sF5bQQ8unN
83330;Los hijos de Messi https://t.co/K7p0zyYT9Z
24455;La depresión que estaría manejando en estos momentos Messi si hubiera perdido la final de Copa América. Literalmente se retiraba.
94880;"profesor: el parcial va a ser fácil

el parcial: en que foto están coscu y messi https://t.co/url0Rcfs8e"
66176;🇪🇸 | AHORA: Airlive: Lionel Messi vuela de Barcelona BCN a Paris Le Bourget. https://t.co/HCGaPEehpi
43494;Antonella le pasa un pañuelo a messi porque lo ve mal y las cornudas se emocionan con el gesto más común que existe y lo mínimo que podes hacer si ves a tu pareja llorar, la vara está muy baja, demasiado
69956;Cuántos hinchas del Barcelona están por darse cuenta de que en realidad eran fans de Messi y no del Barça?
42625;sii totalmente no sé si quiero ser messi para estar con antonella o ser antonella para estar con messi 😍 https://t.co/DGo5Ncltdm
65059;Imaginaos la barbaridad de famoso que es ibai que va con el kun, con el picas y con SHAKIRA que es básicamente una diosa y la gente está gritando ibai. Podría estar con Jesucristo, con Obama y con Beckham y la peña le gritaría. Le llama pa cenar MESSI. https://t.co/sRr6REbs2H
22432;si messi se va al psg me voy a dar un TIRO entre las cejas
22055;Messi no pudo contener las lágrimas durante la rueda de prensa de despedida del F.C. Barcelona https://t.co/EHBiTqnnlo https://t.co/erwuV5IKX9
84993;"@RacingClub Enzo Copetti woke up feeling dangerous today 🥵🥵🥵

0 goles 🔥🔥🔥

0 asistencias 🤪🤪

4% de pases precisos 📈📈

0/10 regates completados 🥶🥶🥶

1 rotura de culo 😵😵😵

Better than Lionel Messi or Diego Maradona?🧐🧐"
83617;Y no olviden nunca que Messi estuvo en el Bernabéu viendo como le levantábamos la Libertadores en la cara a Boca. https://t.co/vA8Fn1L8N9
96836;Los hijos de Messi https://t.co/K7p0zyYT9Z
69248;"El trío de Messi, Neymar y Mbappé es demasiado injusto con el resto. El PSG tendrá el mejor creador del mundo, el mejor regateador del mundo y el mejor goleador del mundo.

 Y además de eso, todavía tendrán a Neymar y Mbappé."
59328;Necesito el stream de @martinpdisalvo contando las anecdotas de la casa messi
03077;"El final de una era.
La historia de Leo #Messi en el Barça.

Para disfrutar una última vez. 👏🏻

https://t.co/Y0HzR3RDjp"
68800;Y mi hijo Julián David se vincula con la despedida a #Messi con este homenaje audiovisual :) https://t.co/adm6m4B7bN
49952;"Messi: *llora*

Mateo: JAJA LA TENES ADENTRO MEGACABALLERO HIJO DE PUTA https://t.co/ah6JBumVu4"
80963;Lionel Messi se despidió del Barcelona y este lunes lo esperan en París https://t.co/qG7dNg4jkT
13252;Te despertás y lo primero que ves es a Messi llorando. La depresión del domingo arrancó a las 7 de la mañana. https://t.co/RmRf6R7OAJ
94533;Si Messi ficha por el PSG sortearemos 150€ entre todos los que hagan RT y FAV a este tweet. https://t.co/oQi2WyH3eG
23301;Cuando era niño simpatizaba con el barcelona, pero cuando vi jugar a Messi en el barcelona me hice hincha de ese club... el mejor jugador de todos los tiempos que yo vi  jugar. El barza te extrañará.
80166;si Messi soltó al Barcelona vos no vas a soltar a tu ex, dale
45761;"Minuto 10, todos cantan ""Messi, Messi, Messi"". Ojalá eso en cada partido. 💪"
01926;"🗣 Scaloni: ""Si a Messi lo conocieran en persona lo querrían aún más"" 

🗣 Ibai: “Si lo conocieran, confirmarían lo grande que es Messi” https://t.co/6JFCvBL531"
07725;"Menudo gigachad es Messi, les saca hasta los higadillos, les lleva a la ruina más absoluta y 20 años después sigue sin decir una palabra de catalán.

Messi ha hecho más por la destrucción del independentismo que toda Tabarnia"
97828;Pienso que la salida de Messi cierra una inmensa era de los mejores cracks en Barcelona. Con Messi estuvieron: Ronaldihno, Xavi, Iniesta, Danny Alves, Zlatan, Henrý, Etto, Neymar, Alexis, Vidal, Lucho Suárez, Rakitic, Puyól, Piqué, Busquét, Ter Stegen, guaje Villa, Grietzman, etc
38818;Messi en una cena de despedida / el de las inferiores de lanus yendo a tomar el colectivo https://t.co/4OqGMx5pm5
08197;@Docstock80 @informacionPSG @AlexaHil77 Ojalá el Milán tuviera esa clase de viejos, no es lo mismo tener a Messi viejo que a gilardino viejo
88803;Tan real como surrealista 😂 Ibai, Messi, el Kun, una camiseta de Batman, y el restaurante 'casa Messi'...  https://t.co/qBUsvBoMxs
