;text
72641;"¡Qué gran imagen!👇Yulimar Rojas y Ana Peleteiro: 

➡️Una venezolana🇻🇪 y la otra española🇪🇦
➡️Oro🥇y bronce🥉 olímpico en triple salto
➡️Amigas y compañeras de entrenamiento en Guadalajara🇪🇦

Y sobre todo, ¡dos enormes atletas! #ElDeporteNosUne https://t.co/9kNSTV5mdo"
51169;"Ayer, con solo 25 años, la venezolana Yulimar Rojas rompió el récord olímpico y mundial en el triple salto femenino 🏃‍♀️🥇🇻🇪  

Esta es su historia: https://t.co/CG8Ekqv8rL"
15554;Todos celebran con Daniel Dhers, Yulimar rojas,  Pero para recordar q un 11 de agosto en los juegos olimpico de los angeles 1984, estaba todo VENEZUELA celebrando la medalla de bronce del pequeño GIGANTE MARCELINO BOLIVAR, hoy olvidado y viviendo como indigente en su pueblo natal https://t.co/KBvzZwzEo7
23044;"Ayer, con solo 25 años, la venezolana Yulimar Rojas rompió el récord olímpico y mundial en el triple salto femenino 🏃‍♀️🥇🇻🇪  

Esta es su historia: https://t.co/CG8Ekqv8rL"
55748;Desde nuestra @ATMGNB Felicitamos a nuestros Medallistas Olimpicos Yulimar Rojas, Daniel Dhers, Julio Mayora y Keydomar Vallenilla. Dignos representantes de nuestra QUERIDA PATRIA VENEZUELA!!! https://t.co/kWuFpQ8GsZ
79809;"”Soy campeona olímpica y tengo el récord mundial"", fue el grito que retumbó en Tokio cuando la REINA Yulimar Rojas obtuvo su medalla de oro https://t.co/thLgkToYu2"
30658;Una de las imágenes de estos Juegos Olímpicos: la alegría de Ana Peleteiro después de que Yulimar Rojas, su rival en el triple salto, ganase la medalla de oro con récord del mundo. https://t.co/9a6QJHhtQ4
11138;@PedroAnibalCuba @DAVlDRomero @MaykollTwin @Reylope13 @SGlez1990 @LaKstaana @memdizabal @PanchitoGomez9 @pepito831 @DiegoDArmasCu @GHNordelo5 Amigo David y faltó a yulimar Rojas nuestra venezolana
64065;@puchero344 Yulimar Rojas orgullo de Venezuela un abrazo acompañada de nuestro presidente Nicolás Moro
47650;"Ayer, con solo 25 años, la venezolana Yulimar Rojas rompió el récord olímpico y mundial en el triple salto femenino 🏃‍♀️🥇🇻🇪  

Esta es su historia: https://t.co/CG8Ekqv8rL"
75745;"Ayer, con solo 25 años, la venezolana Yulimar Rojas rompió el récord olímpico y mundial en el triple salto femenino 🏃‍♀️🥇🇻🇪  

Esta es su historia: https://t.co/CG8Ekqv8rL"
